fecha,porcentaje_afectado,AF.12,AF.13,AF.14,AF.15,AF.16,AF.4,AF.5,AF.6,AF.7,AF.8,AF.9,CD.10,CD.13,CD.14,CD.17,CD.6,CD.9,CE.2,CE.3,CE.4,CE.5,CE.6,CE.7,CO.10,CO.5,CO.7,CO.8,CO.9,ED.3,ED.4,LA.1,LA.2,LA.3,MV.3,MV.4,ON.1,ON.3,ON.5,ON.6,ON.7,RH.10,RH.11,RH.3,RH.5,RH.6,RH.7,RH.9,RS.1,RS.2,RS.6,TR.3,TR.7,TR.8,TR.9,ED.1U,MV.1,TP.1,TR.4,ON.4,ED.1P,ED.2U,ED.5P,RH.1,ED.5B,TR.5,CO.1,RH.2,ED.5U,ON.10,CD.7,ON.8,AF.17,TR.1,CE.9,CD.5,AF.1,CO.4,ED.2P,ED.1S,AF.2,CO.6,RS.8,ED.2I,TR.2,ED.1B,ON.2,CD.11,CD.4,CO.2,CD.16,TR.6,CD.3,CE.10,AF.3,CD.2,ED.2S,CE.1,CD.12,ED.1I,CD.8,MV.7,ED.5S,CD.1,ED.5I,ED.2B,MV.2,CD.15,CO.3
2020-06-21,100.000,0.300,,,0.300,0.300,1.000,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,0.300,0.300,,,,,1.000,,,,0.300,,,0.300,,,0.300,,,,0.300,0.300,,1.000,,,,,,0.300,,,,,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-22,100.000,0.300,,,0.300,0.300,1.000,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,0.300,0.300,,,,,1.000,,,,0.300,,,0.300,,,0.300,,,,0.300,0.300,,1.000,,,,,,0.300,,,,,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-23,100.000,0.300,,,0.300,0.300,1.000,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,0.300,0.300,,,,,1.000,,,,0.300,,,0.300,,,0.300,,,,0.300,0.300,,1.000,,,,,,0.300,,,,,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-24,100.000,0.300,,,0.300,0.300,1.000,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,0.300,0.300,,,,,1.000,,,,0.300,,,0.300,,,0.300,,,,0.300,0.300,,1.000,,,,,,0.300,,,,,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-25,100.000,0.300,,,0.300,0.300,1.000,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,0.300,0.300,,,,,1.000,,,,0.300,,,0.300,,,0.300,,,,0.300,0.300,,1.000,,,,,,0.300,,,,,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-26,100.000,0.300,,,0.300,0.300,1.000,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,0.300,0.300,,,,,1.000,,,,0.300,,,0.300,,,0.300,,,,0.300,0.300,,1.000,,,,,,0.300,,,,,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-27,100.000,0.300,,,0.300,0.300,1.000,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,0.300,0.300,,,,,1.000,,,,0.300,,,0.300,,,0.300,,,,0.300,0.300,,1.000,,,,,,0.300,,,,,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-28,100.000,0.300,,,0.300,0.300,1.000,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,0.300,0.300,,,,,1.000,,,,0.300,,,0.300,,,0.300,,,,0.300,0.300,,1.000,,,,,,0.300,,,,,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-29,100.000,0.300,,,0.300,0.300,1.000,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,0.300,0.300,,,,,1.000,,,,0.300,,,0.300,,,0.300,,,,0.300,0.300,,1.000,,,,,,0.300,,,,,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,100.000,0.300,,,0.300,0.300,1.000,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,0.300,0.300,0.300,,,,,1.000,,,,0.300,,,0.300,,,0.300,,,,0.300,0.300,,1.000,,,,,,0.300,,,,,0.300,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
