fecha,porcentaje_afectado,AF.12,AF.13,AF.14,AF.15,AF.16,AF.2,AF.3,AF.5,AF.6,AF.7,AF.8,AF.9,CD.1,CD.10,CD.13,CD.14,CD.15,CD.17,CD.3,CD.6,CD.7,CD.8,CD.9,CE.2,CE.3,CE.4,CE.5,CE.6,CE.7,CO.1,CO.10,CO.6,CO.7,CO.8,ED.4,LA.1,LA.2,LA.3,MV.3,MV.4,MV.7,ON.1,ON.3,ON.5,ON.6,ON.7,ON.8,RH.2,RH.5,RH.6,RH.7,RH.9,RS.1,RS.2,RS.6,TP.1,TR.4,TR.5,TR.7,TR.9,ED.1U,MV.1,ON.4,ED.1P,ED.2U,ED.5P,RH.1,ED.5B,TR.8,TR.3,ED.5U,ON.10,AF.17,CO.5,AF.4,TR.1,CE.9,CD.5,AF.1,CO.4,ED.2P,ED.1S,CO.9,RS.8,RH.10,ED.2I,TR.2,ED.1B,ON.2,CD.11,CD.4,CO.2,CD.16,TR.6,CE.10,ED.3,CD.2,ED.2S,CE.1,CD.12,ED.1I,ED.5S,ED.5I,ED.2B,MV.2,RH.3,RH.11,CO.3
2020-06-19,100.000,,,,0.300,0.300,,,0.300,0.300,,,0.300,,0.300,,0.300,0.300,,,,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,,,,,0.300,0.300,,,0.300,,,,,0.300,0.300,0.300,,0.300,,0.300,,0.300,0.300,,,,1.000,,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-20,100.000,,,,0.300,0.300,,,0.300,0.300,,,0.300,,0.300,,0.300,0.300,,,,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,,,,,0.300,0.300,,,0.300,,,,,0.300,0.300,0.300,,0.300,,0.300,,0.300,0.300,,,,1.000,,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-21,100.000,,,,0.300,0.300,,,0.300,0.300,,,0.300,,0.300,,0.300,0.300,,,,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,,,,,0.300,0.300,,,0.300,,,,,0.300,0.300,0.300,,0.300,,0.300,,0.300,0.300,,,,1.000,,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-22,100.000,,,,0.300,0.300,,,0.300,0.300,,,0.300,,0.300,,0.300,0.300,,,,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,,,,,0.300,0.300,,,0.300,,,,,0.300,0.300,0.300,,0.300,,0.300,,0.300,0.300,,,,1.000,,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-23,100.000,,,,0.300,0.300,,,0.300,0.300,,,0.300,,0.300,,0.300,0.300,,,,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,,,,,0.300,0.300,,,0.300,,,,,0.300,0.300,0.300,,0.300,,0.300,,0.300,0.300,,,,1.000,,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-24,100.000,,,,0.300,0.300,,,0.300,0.300,,,0.300,,0.300,,0.300,0.300,,,,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,,,,,0.300,0.300,,,0.300,,,,,0.300,0.300,0.300,,0.300,,0.300,,0.300,0.300,,,,1.000,,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-25,100.000,,,,0.300,0.300,,,0.300,0.300,,,0.300,,0.300,,0.300,0.300,,,,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,,,,,0.300,0.300,,,0.300,,,,,0.300,0.300,0.300,,0.300,,0.300,,0.300,0.300,,,,1.000,,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-26,100.000,,,,0.300,0.300,,,0.300,0.300,,,0.300,,0.300,,0.300,0.300,,,,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,,,,,0.300,0.300,,,0.300,,,,,0.300,0.300,0.300,,0.300,,0.300,,0.300,0.300,,,,1.000,,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-27,100.000,,,,0.300,0.300,,,0.300,0.300,,,0.300,,0.300,,0.300,0.300,,,,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,,,,,0.300,0.300,,,0.300,,,,,0.300,0.300,0.300,,0.300,,0.300,,0.300,0.300,,,,1.000,,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-28,100.000,,,,0.300,0.300,,,0.300,0.300,,,0.300,,0.300,,0.300,0.300,,,,0.300,0.300,0.300,,0.300,0.300,0.300,0.300,,,,,,0.300,0.300,,,0.300,,,,,0.300,0.300,0.300,,0.300,,0.300,,0.300,0.300,,,,1.000,,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
